name,patent_count
"SAMSUNG DISPLAY CO., LTD.",2064
International Business Machines Corporation,1788
CANON KABUSHIKI KAISHA,1048
SONY GROUP CORPORATION,765
Fujitsu Limited,651
Kabushiki Kaisha Toshiba,602
"HITACHI, LTD.",583
Intel Corporation,581
MITSUBISHI ELECTRIC CORPORATION,561
General Electric Company,553
LG ELECTRONICS INC.,527
QUALCOMM Incorporated,502
TOYOTA JIDOSHA KABUSHIKI KAISHA,496
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",490
NEC CORPORATION,485
"Taiwan Semiconductor Manufacturing Company, Ltd.",451
Apple Inc.,434
"Micron Technology, Inc.",392
SEIKO EPSON CORPORATION,375
Siemens Aktiengesellschaft,372
